"pid","grp","duration","entry","exit","num","ind"
1456,"inactive",92,87,175,6294,1
1459,"inactive",80,75,154,6294,1
1472,"inactive",91,86,169,6294,1
1474,"inactive",97,92,185,6294,1
1476,"inactive",117,112,217,6294,1
1479,"inactive",113,108,207,6294,1
1487,"inactive",105,100,194,6294,1
1497,"inactive",120,115,216,6294,1
1504,"inactive",99,94,188,6294,1
1514,"inactive",113,108,203,6294,1
1515,"inactive",107,102,196,6294,1
1522,"inactive",113,108,204,6294,1
1530,"inactive",86,81,167,6294,1
1535,"inactive",113,108,208,6294,1
1547,"inactive",95,90,179,6294,1
1549,"inactive",99,94,186,6294,1
1553,"inactive",109,104,197,6294,1
1560,"inactive",107,102,195,6294,1
1562,"inactive",94,89,176,6294,1
1575,"inactive",101,96,185,6294,1
1584,"inactive",96,91,184,6294,1
1586,"inactive",108,103,197,6294,1
1588,"inactive",92,87,175,6294,1
1589,"inactive",97,92,182,6294,1
1596,"inactive",99,94,188,6294,1
1598,"inactive",109,104,199,6294,1
1606,"inactive",106,101,197,6294,1
1620,"inactive",102,97,189,6294,1
1632,"inactive",107,102,196,6294,1
1643,"inactive",104,99,193,6294,1
1652,"inactive",102,97,190,6294,1
1667,"inactive",96,91,177,6294,1
1673,"inactive",103,98,188,6294,1
1686,"inactive",125,120,225,6294,1
1691,"inactive",100,95,188,6294,1
1695,"inactive",115,110,211,6294,1
1699,"inactive",104,99,195,6294,1
1712,"inactive",136,131,240,6294,1
1716,"inactive",122,117,225,6294,1
1720,"inactive",127,122,228,6294,1
1724,"inactive",117,112,213,6294,1
1725,"inactive",112,107,204,6294,1
1729,"inactive",101,96,187,6294,1
1741,"inactive",141,136,247,6294,1
1742,"inactive",111,106,204,6294,1
1751,"inactive",139,134,243,6294,1
1756,"inactive",125,120,224,6294,1
1757,"inactive",126,121,227,6294,1
1763,"inactive",140,135,252,6294,1
1773,"inactive",128,123,227,6294,1
1782,"inactive",125,120,228,6294,1
1790,"inactive",125,120,224,6294,1
1798,"inactive",134,129,239,6294,1
1804,"inactive",121,116,226,6294,1
1808,"inactive",116,111,209,6294,1
1809,"inactive",124,119,224,6294,1
1817,"inactive",118,113,215,6294,1
1818,"inactive",120,115,218,6294,1
1824,"inactive",126,121,226,6294,1
1828,"inactive",103,98,193,6294,1
1838,"inactive",121,116,217,6294,1
1874,"inactive",102,97,194,6294,1
1882,"inactive",124,119,224,6294,1
1885,"inactive",122,117,217,6294,1
1887,"inactive",120,115,218,6294,1
1888,"inactive",123,118,223,6294,1
1896,"inactive",140,135,249,6294,1
1902,"inactive",142,137,254,6294,1
1906,"inactive",121,116,217,6294,1
1909,"inactive",125,120,225,6294,1
1913,"inactive",123,118,220,6294,1
1924,"inactive",138,133,244,6294,1
1934,"inactive",122,117,220,6294,1
1935,"inactive",133,128,234,6294,1
1945,"inactive",140,135,248,6294,1
1947,"inactive",128,123,232,6294,1
1957,"inactive",153,148,263,6294,1
1958,"inactive",124,119,222,6294,1
1965,"inactive",139,134,247,6294,1
1968,"inactive",148,143,260,6294,1
1981,"inactive",138,133,242,6294,1
1986,"inactive",127,122,228,6294,1
1993,"inactive",133,128,236,6294,1
2002,"inactive",134,129,236,6294,1
2012,"inactive",125,120,233,6294,1
2019,"inactive",138,133,248,6294,1
2024,"inactive",163,158,275,6294,1
2030,"inactive",111,106,205,6294,1
2031,"inactive",129,124,234,6294,1
2065,"inactive",152,147,268,6294,1
2081,"inactive",126,121,230,6294,1
2084,"inactive",140,135,246,6294,1
2086,"inactive",151,146,267,6294,1
2088,"inactive",158,153,273,6294,1
2104,"inactive",172,167,286,6294,1
2108,"inactive",151,146,267,6294,1
2118,"inactive",143,138,255,6294,1
2120,"inactive",166,161,278,6294,1
2130,"inactive",162,157,275,6294,1
2150,"inactive",135,130,243,6294,1
2151,"inactive",147,142,257,6294,1
2155,"inactive",169,164,282,6294,1
2157,"inactive",163,158,278,6294,1
2163,"inactive",140,135,246,6294,1
2165,"inactive",163,158,277,6294,1
2167,"inactive",162,157,274,6294,1
2173,"inactive",148,143,257,6294,1
2174,"inactive",139,134,245,6294,1
2178,"inactive",132,127,234,6294,1
2184,"inactive",156,151,268,6294,1
2194,"inactive",144,139,253,6294,1
2200,"inactive",130,125,235,6294,1
2205,"inactive",141,136,253,6294,1
2207,"inactive",128,123,233,6294,1
2211,"inactive",147,142,259,6294,1
2222,"inactive",155,150,267,6294,1
